Base,"Schools should not sell junk food on campus, but ... ",,arg0 (actor),verb1,arg1 (Object),arg2,verb2,arg0,arg1,arg2,verb3,arg0,arg1,arg2,Primary Verb,arg0 (agent),arg1 (patient) ,arg2 (beneficiary),verb5,arg0,arg1,arg2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but some feel that they deserve a right to choose what they are eating .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,feel,some,that they deserve a right to choose what they are eating,-,deserve,they,a right to choose what they are eating,-,choose,they,what they are eating,-,are,-,-,-,eating,they,what,-,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but many people feel that it raises money for the school and gives kids a choice of what they should eat .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,feel,many people,that it raises money for the school and gives kids a choice of what they should eat,-,raises,it,money for the school,-,gives,it,a choice of what they should eat,kids,eat (should),they,what,-,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but instead fill snack machines with nutritious foods .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,fill,Schools,snack machines,with nutritious foods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they could fill snack machines with more nutritious foods .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,fill (could),they,snack machines,with more nutritious foods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but the schools could fill snack machines with more nutritious foods .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,fill (could),the schools,snack machines,with more nutritious foods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but could fill the snack machines with more nutritious food .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,fill (could),Schools,the snack machines,with more nutritious food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but schools could fill snack machines with more nutritious foods .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,fill (could),schools,snack machines,with more nutritious foods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but schools could fill snack machines with more nutritious options .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,fill (could),schools,snack machines,with more nutritious options,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but schools could fill the snack machines with healthy choices .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,fill (could),schools,the snack machines,with healthy choices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they must fill snack machines with more nutritious food .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,fill (must),they,snack machines,with more nutritious food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but need to find attractive food alternatives that interest students .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,find (need),Schools,attractive food alternatives that interest students,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ","but should instead focus on providing nutritious alternatives such as fruits like apples , bananas and other healthy choices .",modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,focus (should),Schools,-,"on providing nutritious alternatives such as fruits like apples , bananas and other healthy choices",providing,Schools,"nutritious alternatives such as fruits like apples , bananas and other healthy choices",-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but the sale of junk food can generate a significant amount of profit .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,generate (can),the sale of junk food,a significant amount of profit,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but it does generate money .,auxiliary,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,generate (does),it,money,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but it does generate more money for schools because students are more likely to purchase junk food .,auxiliary,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,generate (does),it,more money,-,are,-,students,more likely to purchase junk food,purchase,students,junk food,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but selling snacks also generates money for schools .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,generates,selling snacks,money,for schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but selling snacks generates money for the schools so maybe they should just consider limiting the number of junk food snacks the offer .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,generates,selling snacks,money,for the schools,consider (should),they,limiting the number of junk food snacks the offer,-,limiting,they,the number of junk food snacks the offer,-,snacks,-,-,junk food,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but it generates income for schools .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,generates,it,income for schools,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but it generates money for schools .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,generates,it,money,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but it generates revenue for the schools .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,generates,it,revenue for the schools,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but They will just get it somewhere else or bring it from home .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,get (will),They,it,-,bring,They,it,from home,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but we give kids the choices of what to eat .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,give,we,the choices of what to eat,kids,eat,-,what,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but give alternate snacks that are healthier .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,give,Schools,alternate snacks that are healthier,-,are,-,alternate snacks,healthier,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but I guess they need money .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,guess,I,they need money,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but I guess they want to make money .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,guess,I,they want to make money,-,want,they,to make money,-,make,they,money,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but if a club or organization has a fundraiser it may be allowed on special occasions .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,has,a club or organization,a fundraiser,-,be (may),-,-,-,allowed,-,it,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but Some school has been sold this foods,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,has,-,-,-,been,-,-,-,sold,-,this foods,Some school,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they have no control over what foods their students eat away from school .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,have,they,no control over what foods their students eat away from school,-,foods,their students,-,-,eat,their students,what foods,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but students have a choice about what they eat .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,have,students,a choice about what they eat,-,eat,they,what,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but have a variety of options for the kids to choose from .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,have,Schools,a variety of options for the kids to choose from,-,choose,the kids,-,from,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but have healthier choices for students to choose from either cafeteria or vending machines if there are any .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,have,Schools,healthier choices for students to choose from either cafeteria or vending machines,-,choose,students,-,from either cafeteria or vending machines,vending,machines,-,-,are,-,any,-,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but have healthy options .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,have,Schools,healthy options,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but schools already have so many roles to fill that asking them to arbitors of health may be too much to ask .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,have,schools,so many roles to fill that asking them to arbitors of health may be too much to ask,-,fill,-,so many roles,-,asking,schools,to arbitors of health,them,be (may),-,asking them to arbitors of health,too much to ask,ask,-,too much,-,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but I have nothing else to say here .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,have,I,nothing else to say here,-,say,-,nothing else,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they have to get an incentive to stop offering it .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,have,-,-,-,get,they,an incentive to stop offering it,-,stop,they,offering it,-,offering,they,it,-,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but students can have the option to eat it outside of school,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,have (can),students,the option to eat it outside of school,-,eat,students,it,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but CAN HAVE CHEESES,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,have (can),Schools,CHEESES,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but can have more variety of healthy food,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,have (can),Schools,more variety of healthy food,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they could just have a small amount of it instead of the amount they have been selling at .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,have (could),they,a small amount of it instead of the amount they have been selling at,-,have,-,-,-,been,-,-,-,selling,they,the amount,at,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but could have places near by that do sell it but that are not as convenient .,modal auxiliary,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,have (could),Schools,places near by that do sell it,-,sell (do),-,it,-,are,-,that,as convenient,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they do not have the right to police food brought in from the outside,auxiliary,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,have (do),they,the right to police food brought in from the outside,-,brought,-,food,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but students do have the right for bring foods,auxiliary,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,have (do),students,the right for bring foods,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they should have a choice,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,have (should),they,a choice,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they should have greater accessibility to nutrient dense foods .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,have (should),they,greater accessibility to nutrient dense foods,-,nutrient,-,dense foods,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they should have healthy alternatives for the kids to turn too when they do want a snack .,modal auxiliary,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,have (should),they,healthy alternatives for the kids to turn too when they do want a snack,-,turn,the kids,healthy alternatives,-,want (do),they,a snack,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they should have healthy snacks .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,have (should),they,healthy snacks,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they should have options for teachers and other staff .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,have (should),they,options for teachers and other staff,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they should have other options available .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,have (should),they,other options available,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ","but they should have some healthy foods that still take good , liked baked potato chips instead of fried .",modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,have (should),they,"some healthy foods that still take good , liked baked potato chips instead of fried",-,take,some healthy foods,good,-,liked,some healthy foods,baked potato chips,-,baked,-,potato chips,-,fried,-,-,-,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they should have treats on special days .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,have (should),they,treats,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but students should have a choice about what they eat .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,have (should),students,a choice about what they eat,-,eat,they,what,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but students should have a choice about what they eat .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,have (should),students,a choice about what they eat,-,eat,they,what,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but students should have a choice and it also brings in money to the school .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,have (should),students,a choice,-,brings,it,money,to the school,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but students should have a choice in what they eat .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,have (should),students,a choice in what they eat,-,eat,they,what,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ","but students should still have the freedom to bring snacks to school for lunch , everyone has a right to eat what they choose .",modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,have (should),students,the freedom to bring snacks to school for lunch,-,bring,-,snacks,to school,has,everyone,a right to eat what they choose,-,eat,-,what they choose,-,choose,they,what,-,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but student 's should have a choice in what they eat .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,have (should),student 's,a choice in what they eat,-,eat,they,what,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but should have alternative healthy snacks available .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,have (should),Schools,alternative healthy snacks available,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but should have snacks that are healthy alternatives as treats .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,have (should),Schools,snacks that are healthy alternatives as treats,-,are,-,snacks,healthy alternatives as treats,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but should have vending machines that have healthy snack options .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,have (should),Schools,vending machines that have healthy snack options,-,vending,machines,-,-,have,vending machines,healthy snack options,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ","but should instead have a less - healthy option available once a week , on Fridays to keep things more fun and teach balance .",modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,have (should),Schools,a less - healthy option available,-,keep,-,more fun,-,teach,-,-,balance,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but parents should also have a say in what their children eat .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,have (should),parents,a say in what their children eat,-,eat,their children,what,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but parents should ultimately have control over the decisions of their children,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,have (should),parents,control over the decisions of their children,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but kids really should have a choice as to what they want to eat .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,have (should),kids,a choice as to what they want to eat,-,want,they,to eat,-,eat,they,what,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but kids should have a choice on what they eat,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,have (should),kids,a choice on what they eat,-,eat,they,what,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but kids should have a choice within the limits of what is healthy,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,have (should),kids,a choice,-,is,-,what,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but other argue that kids should have choice of what they want to eat .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,have (should),kids,choice of what they want to eat,-,want,they,to eat,-,eat,they,what,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but it should have healthy snacks instead like dried fruits and nuts and nut alternatives for the allergic .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,have (should),it,healthy snacks instead like dried fruits and nuts and nut alternatives for the allergic,-,dried,-,fruits and nuts,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but everybody should have the right to sell or buy or eat as they please .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,have (should),everybody,the right to sell or buy or eat as they please,-,sell,-,-,-,buy,-,-,-,eat,-,-,-,please,-,they,-,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but children should have a choice about what to eat,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,have (should),children,a choice about what to eat,-,eat,-,what,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they should at have least allow children to choose between healthy food and snacks .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,have (should),-,-,-,allow,they,children to choose between healthy food and snacks,-,choose,children,-,between healthy food and snacks,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they should having vending machines that sell healthy options .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,having (should),they,vending machines that sell healthy options,-,vending,machines,-,-,sell,vending machines,healthy options,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but it does help the school make money .,auxiliary,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,help (does),it,the school make money,-,make,the school,money,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but it helps generates money for the school,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,helps,it,generates money for the school,-,generates,-,money,for the school,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but this will not impact the nutrition they receive at home so there needs to be more education and support for parents who need help accessing health food .,modal modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,impact (will),this,the nutrition they receive at home,-,receive,they,the nutrition,-,needs,-,to be more education and support for parents who need help accessing health food,-,be,-,more education and support for parents who need help accessing health food,-,accessing (need),who,health food,-,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they should also incorporate greater amounts of exercise into the school day .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,incorporate (should),they,greater amounts of exercise,into the school day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they should incorporate healthier and more nutritious foods .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,incorporate (should),they,healthier and more nutritious foods,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they should incorporate healthy initiatives .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,incorporate (should),they,healthy initiatives,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they should incorporate healthy snacks in the vending machines,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,incorporate (should),they,healthy snacks,in the vending machines,vending,-,machines,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they should inform the students as to why .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,inform (should),they,the students,as to why,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but if they insist it could be healthy options .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,insist,they,it could be healthy options,-,be (could),-,it,healthy options,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they can slowly integrate healthier choices such as baked potato chips instead of fried .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,integrate (can),they,healthier choices such as baked potato chips instead of fried,-,baked,-,potato chips,-,fried,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but they should not interfere with what students bring for lunch from home .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,interfere (should),they,with what students bring for lunch from home,-,bring,students,what,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but that interferes with freedom of choice .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,interferes,that,with freedom of choice,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ","but everything is good in moderation , and I ’m sure one bag of chips wo n’t kill someone .",,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,is,-,everything,good in moderation,’m,-,I,sure one bag of chips wo n’t kill someone,wo,-,-,-,kill,one bag of chips,someone,-,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ","but if it is allowed , healthier choices should also be allowed as well .",modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,is,-,-,-,allowed,-,it,-,be (should),-,-,-,allowed,-,healthier choices,-,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but if it is available they should also have healthy choices as well .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,is,-,it,available,have (should),they,healthy choices,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but if it is brought from home than it is ok .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,is,-,-,-,brought,-,it,-,is,-,it,ok,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ","but if it is sold at schools , then it should be low fat items like low fat chips and sugar free items .",modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,is,-,-,-,sold,-,it,-,be (should),-,it,low fat items like low fat chips and sugar free items,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but if it is sold it should be really expensive so that only people that really want junk food will buy it .,modal modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,is,-,-,-,sold,-,it,-,be (should),-,it,really expensive,want,only people,junk food,-,buy (will),only people that really want junk food,it,-,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but in some cases junk food is less expensive than healthier options so junk is perhaps all some can afford .,modal,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,is,-,junk food,less expensive than healthier options,is,-,junk,all some can afford,afford (can),some,all,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but is not good for their health .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,is,-,Schools,good for their health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but it is a difficult problem to solve as healthy food tends to be much more expensive .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,is,-,it,a difficult problem to solve,solve,-,a difficult problem,-,tends,-,healthy food,to be much more expensive,be,-,healthy food,much more expensive,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but it is acceptable to eat it there .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,is,-,to eat it there,acceptable,eat,-,it,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but it is also important to focus on changing kids ' fitness habits .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,is,-,to focus on changing kids ' fitness habits,important,focus,-,-,on changing kids ' fitness habits,changing,-,kids ' fitness habits,-,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but it is also our responsibility as parents to teach healthy eating habits .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,is,-,to teach healthy eating habits,our responsibility as parents,teach,-,healthy eating habits,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but it is cheap quick and convenient,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,is,-,it,cheap quick and convenient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but it is good to have a balance of healthy and junk food .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,is,-,to have a balance of healthy and junk food,good,have,-,a balance of healthy and junk food,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schools should not sell junk food on campus, ",but it is important for students to be able to make their own choices .,,allow (should),Schools,junk food to be sold on campus,-,be,-,-,-,sold,-,junk food,-,is,-,for students to be able to make their own choices,important,be,-,students,able to make their own choices,make,students,their own choices,-,,,,,,,,,,,,,,,,,,,,,,,,
